,T / h,1R1C_leicht_G,5R1C_leicht_G,1R1C_mittel_G,5R1C_mittel_G,1R1C_schwer_G,5R1C_schwer_G
0,24.0,0.2185984128852051,0.10742221361452448,0.1477057442016345,0.07294449915607722,0.0943526333882541,0.048038537137420574
1,25.0,0.2272451473563882,0.11173379056662461,0.15371773266774058,0.07580764747524395,0.09824707344223334,0.04982347681535919
2,26.0,0.23583838738902774,0.11604302705471815,0.15971256270298378,0.07867386522608256,0.1021368912421638,0.05161140337886925
3,27.0,0.2443770891171242,0.1203491794502413,0.16568967084776495,0.08154289810547331,0.10602198140673381,0.05340231461426767
4,28.0,0.2528590816828458,0.12465203868620385,0.1716487041131353,0.08441396829634334,0.10990219832704552,0.05519613469124438
5,29.0,0.26128305944647273,0.12895060160229413,0.17758907474045138,0.0872871121210272,0.11377736553545656,0.056992689980741466
6,30.0,0.26964787919335753,0.1332444326620146,0.18350978142206234,0.09016152767876395,0.11764728261436613,0.058791870082454414
7,31.0,0.27795219703924606,0.13753318510056037,0.1894108792372278,0.0930369016029716,0.12151181360119231,0.06059355233095331
8,32.0,0.2861945191755299,0.14181634450077826,0.1952911883454313,0.09591300902504374,0.12537102739703895,0.06239775246493978
9,33.0,0.29437371741595075,0.14609334063413165,0.20115079580419273,0.09878954168116402,0.1292243582235152,0.06420421730198901
10,34.0,0.30248891458942084,0.1503639546576711,0.2069888652625029,0.10166610513813834,0.13307196607581082,0.06601276940508216
11,35.0,0.31053890352510805,0.1546278770234339,0.21280484647192222,0.10454243825368773,0.13691342690327057,0.06782336575670796
12,36.0,0.31852252266447206,0.1588845929972941,0.21859825401204108,0.10741829015862127,0.14074890099658133,0.06963585881156634
13,37.0,0.3264389380575256,0.16313377596280582,0.22436854849151947,0.11029341960452131,0.1445779181541836,0.07144999209705417
14,38.0,0.3342872044545546,0.16737508856398378,0.2301155973316761,0.11316759427099893,0.14840040106371152,0.07326582183886823
15,39.0,0.34206633993041663,0.17160844367892533,0.235838564398636,0.11604065118565746,0.15221634675348347,0.07508302983828326
16,40.0,0.34977630167549834,0.17583331496949195,0.24153701142381906,0.11891244108294774,0.15602550539452595,0.07690160363530567
17,41.0,0.35741537631365844,0.18004933415285274,0.24721065012288146,0.1217826590705751,0.15982768622703653,0.07872133335764495
18,42.0,0.36498361701340754,0.18425650090435194,0.2528590382531347,0.12465109949596209,0.16362273891194934,0.08054217640029475
19,43.0,0.37248021901889944,0.18845429026396662,0.25848160195143877,0.12751781447591742,0.16741056605304208,0.08236390034730107
20,44.0,0.3799045267000531,0.1926426734783037,0.2640780162811859,0.1303824323174146,0.17119106764603692,0.08418655865278253
21,45.0,0.3872560509781483,0.1968211469303904,0.2696479127714083,0.13324491942612826,0.17496397216041643,0.08600987712985557
22,46.0,0.3945345600108563,0.20098964865589042,0.27519088680004294,0.1361050663662131,0.1787290804448762,0.08783382528262206
23,47.0,0.4017396556007063,0.20514796733736076,0.2807065040523678,0.1389628413742112,0.18248651649199632,0.08965834302403301
24,48.0,0.40887061153814885,0.209295761456479,0.2861943634300752,0.14181796176350614,0.1862358446149413,0.09148325424952393
25,49.0,0.41592775934331594,0.21343282740637226,0.29165445833745784,0.1446704550170562,0.18997716237231205,0.09330848158993103
26,50.0,0.4229104710449933,0.2175589485806168,0.2970859017753724,0.14752016233589413,0.19371009106027157,0.09513398881236164
27,51.0,0.4298185951546926,0.22167389724210543,0.3024889392382247,0.15036691784594836,0.19743473939428552,0.09695968915255163
28,52.0,0.436652071467186,0.22577754650656692,0.3078628529279367,0.15321063104037577,0.20115084930573024,0.09878546895886797
29,53.0,0.44341080488389495,0.22986970138845067,0.3132074153164869,0.1560512083703401,0.20485826156350145,0.10061125931840735
30,54.0,0.45009467620413157,0.23395000577705868,0.3185223965733927,0.15888855361834603,0.20855687049287805,0.10243699307105007
31,55.0,0.4567037179058033,0.238018424115584,0.3238075406804283,0.1617225682319161,0.21224655906657602,0.10426260475467297
32,56.0,0.4632382052084973,0.24207468631594295,0.3290625698768978,0.1645531516227362,0.2159272002498453,0.10608803054226142
33,57.0,0.4696977787401659,0.24611868128432154,0.3342871886278217,0.1673802014356106,0.2195986582084262,0.10791320817392304
34,58.0,0.476082905109243,0.250150087565143,0.33948108717007236,0.17020361379095644,0.2232607893956681,0.10973807688609152
35,59.0,0.48239366356215607,0.2541689242722979,0.34464420603201584,0.17302328350399684,0.22691344353291082,0.11156257733973238
36,60.0,0.4886301322744415,0.2581749365049794,0.3497762165576537,0.17583924410279247,0.2305566740899517,0.11338665154890727
37,61.0,0.49479258590208913,0.26216792509311554,0.3548769368571373,0.17865129469941934,0.23419017160869046,0.11521024281071025
38,62.0,0.5008812813140426,0.2661477461764176,0.3599460385942703,0.1814593174303208,0.237813855211249,0.11703335663936487
39,63.0,0.5068964634580685,0.27011424658442773,0.36498366378736513,0.18426340784392423,0.24142768806058842,0.11885589553526493
40,64.0,0.5128385071337382,0.2740672650629565,0.36998937258169734,0.18706325831119167,0.24503147647727233,0.12067779686346569
41,65.0,0.5187079031835335,0.2780066333892167,0.3749630410912593,0.18985902905531396,0.24862508465784644,0.12249901255097502
42,66.0,0.5245046021923282,0.2819323117219913,0.3799045319494154,0.19265044519053906,0.25220856494361854,0.12431958989657582
43,67.0,0.5302295723293928,0.2858440878771477,0.38481369580413355,0.1954375225807908,0.2557816546756049,0.12613938192280882
44,68.0,0.535882738448332,0.28974171875601606,0.38969037370288945,0.19822021982611474,0.25934427460813686,0.12795838485885921
45,69.0,0.5414646669429114,0.2936253030931203,0.3945346036131708,0.2009983923313595,0.26289633780271193,0.12977658988307883
46,70.0,0.5469760711394875,0.2974944382755791,0.3993461384418559,0.20377198758254111,0.2664377504585769,0.1315938921192554
47,71.0,0.5524172167098351,0.3013492852765257,0.4041247914706658,0.2065409496631428,0.26996841267457766,0.1334103445456275
48,72.0,0.5577886204703272,0.30518949063848394,0.40887074043167715,0.20930521957105092,0.2734882191487762,0.13522582272272482
49,73.0,0.5630908014854759,0.30901497913477366,0.4135836424924825,0.21206473551024538,0.2769970598216183,0.1370403592021647
50,83.0,0.6124345321783137,0.3464392202291247,0.45889018693462597,0.23938419995572985,0.31146334530433994,0.15512544848714346
51,93.0,0.6555321776925819,0.3822891248068449,0.5008812039518439,0.26616231997755774,0.3447432005418522,0.17308164762487016
52,103.0,0.693057714632465,0.41649893364591956,0.5396119847276618,0.29234896890188233,0.3767722605837165,0.19088502082865058
53,113.0,0.7256880030290291,0.44903148130162057,0.5751967896533613,0.3179019844494553,0.40750507113142365,0.20851524725648848
54,123.0,0.7540629874619137,0.4798748030084659,0.6077919942236067,0.34278633969069056,0.436913330502029,0.2259544026969578
55,133.0,0.7787645604086358,0.5090387780334897,0.6375808404573213,0.3669738870826912,0.4649846279718394,0.24318658035195204
56,143.0,0.8003083487782249,0.5365511639466084,0.6647613247623241,0.39044271284158943,0.49172051378451753,0.26019745970604446
57,153.0,0.8191434752149648,0.5624544636855371,0.6895364507339171,0.4131769600411613,0.5171347841157002,0.2769741549157365
58,253.0,0.9208408996591462,0.7473035278691451,0.8441103950055404,0.5999612683329807,0.7067874377818594,0.42988290532454526
59,453.0,0.9731545795060547,0.8956267621804149,0.9424534374084232,0.8019690332400848,0.8728765829619596,0.6485874272051294
60,653.0,0.986806910974179,0.9454573221009238,0.9710272034250623,0.8883933660886523,0.9323495204397393,0.7754718625440347
61,853.0,0.992204668300693,0.9669317480062842,0.9827121286035954,0.929880608189136,0.9586486452451585,0.8486402837602136
62,1053.0,0.9948640417469994,0.9779272690271281,0.988554011846793,0.9522954058457251,0.9722806369124234,0.8926575849501484
63,1253.0,0.9963645464198275,0.9842590810290409,0.9918755007612138,0.9655953602987806,0.9801832486512372,0.9205479115024946
64,1453.0,0.9972926997081616,0.988223220718482,0.993939294797475,0.9740752035223643,0.9851506974879534,0.9390973702364327
65,1653.0,0.99790626001434,0.9908640371387187,0.9953074855904983,0.9797917279514519,0.9884684776606294,0.951963363930749
66,1853.0,0.9983327676067248,0.9927093969296368,0.9962604071457568,0.9838189961279109,0.9907909886271001,0.9612105054699477
67,2053.0,0.9986411537859542,0.9940486434793949,0.996950360536625,0.9867587896374063,0.9924786430631599,0.9680594753639621
68,2253.0,0.9988713067285022,0.995050870614218,0.9974657997153348,0.9889682661625627,0.9937427733447828,0.9732632416145373
69,2453.0,0.9990476026139834,0.9958201555761996,0.9978609236703099,0.9906697508477087,0.9947137707474246,0.9773040956643964
70,2653.0,0.9991856168313205,0.9964233568553496,0.9981704302142405,0.9920072836272728,0.9954755508801685,0.9805013638304803
71,2853.0,0.999295677583965,0.9969049926353446,0.9984173635908706,0.9930774059207834,0.9960840689244881,0.9830727165774604
72,3053.0,0.9993848520402865,0.9972956241925967,0.9986175110338497,0.9939467353403298,0.9965777796241899,0.9851703802335294
73,3253.0,0.9994581078856447,0.9976167891387786,0.9987819799256124,0.994662416610229,0.9969838081811495,0.9869032515074058
74,3453.0,0.9995190194523009,0.9978840176866309,0.9989187686203204,0.9952585579561665,0.9973217272629595,0.9883508125533146
75,3653.0,0.9995702115911418,0.9981087339099391,0.9990337545717902,0.9957603210035786,0.9976059439847458,0.9895721266106424
76,3853.0,0.9996136469534381,0.9982994924845923,0.9991313348061908,0.9961865907631077,0.9978472517284636,0.9906117954702157
77,4053.0,0.9996508167661626,0.9984628013703956,0.9992148516945301,0.996551762126447,0.9980538648633754,0.991503991849155
78,4253.0,0.9996828704435368,0.9986036818256229,0.9992868824680207,0.9968669605819553,0.9982321240054746,0.9922752437078134
79,4453.0,0.9997107054578686,0.9987260580426558,0.9993494401101359,0.9971408931497742,0.9983869855655583,0.9929463915937563
80,4653.0,0.9997350308074361,0.9988330325444285,0.9994041153175682,0.9973804524388783,0.9985223693254267,0.9935339865049513
81,4853.0,0.999756412587239,0.9989270841841287,0.9994521785023528,0.9975911512555311,0.998641407833163,0.9940513046942501
82,5053.0,0.9997753072056852,0.9990102126882069,0.9994946541106732,0.9977774412766884,0.9987466287277457,0.9945090934862667
83,5253.0,0.9997920859313374,0.9990840456137322,0.9995323756539679,0.9979429484474638,0.9988400894604987,0.9949161262684207
84,5453.0,0.9998070532624495,0.9991499183933554,0.9995660268616455,0.9980906503768554,0.9989234785393158,0.9952796216422738
85,5653.0,0.9998204608339347,0.9992089350602216,0.9995961728467516,0.9982230102413479,0.9989981921124873,0.9956055615817557
86,5853.0,0.999832518058959,0.999262014754327,0.9996232839650147,0.9983420798763615,0.9990653926381499,0.9958989369238332
87,6053.0,0.9998434003528213,0.99930992764671,0.999647754257967,0.9984495795117446,0.9991260542793721,0.9961639376868484
88,6253.0,0.9998532555470693,0.9993533229915482,0.9996699158406713,0.9985469600395516,0.9991809983387906,0.9964041021858425
89,6453.0,0.9998622089350755,0.9993927512051763,0.9996900502218695,0.9986354519081564,0.9992309211535201,0.9966224348634324
90,6653.0,0.9998703672728391,0.9994286813821371,0.9997083972818424,0.9987161042202201,0.9992764162289213,0.9968214997987918
91,6853.0,0.9998778219751594,0.9994615152946639,0.9997251624457806,0.9987898158410701,0.9993179919444681,0.9970034959789738
92,7053.0,0.9998846516869213,0.9994915986598759,0.9997405224555871,0.9988573604761863,0.9993560857568731,0.9971703179161895
93,7253.0,0.999890924365284,0.9995192302672313,0.9997546300444741,0.9989194070056661,0.9993910757750377,0.9973236045794964
94,7453.0,0.9998966989763304,0.9995446694183702,0.9997676177464382,0.9989765360887968,0.9994232901587465,0.9974647798842766
95,7653.0,0.9999020268856035,0.9995681420266623,0.9997796010187759,0.9990292537044995,0.9994530148283673,0.9975950854153514
96,7853.0,0.9999069530044292,0.9995898456453909,0.9997906808157353,0.9990780024306961,0.999480499823423,0.9977156079306959
97,8053.0,0.9999115167383025,0.9996099536343449,0.999800945720741,0.9991231707302657,0.9995059645720921,0.9978273017112521
98,8253.0,0.9999157527778533,0.9996286186294774,0.9998104737217436,0.9991651006953975,0.9995296022796616,0.997931007661812
99,8453.0,0.9999196917601516,0.9996459754457082,0.9998193336962677,0.9992040945321758,0.9995515836003206,0.9980274689654047
100,8653.0,0.9999233608238941,0.9996621435162543,0.9998275866592194,0.9992404200117878,0.9995720597229419,0.9981173444001433
101,8760.0,0.999925221416532,0.9996703426226435,0.9998317718035402,0.9992588421271192,0.9995824436175408,0.998162929388278
