,T / h,1R1C_leicht,5R1C_leicht,1R1C_mittel,5R1C_mittel,1R1C_schwer,5R1C_schwer
0,24.0,77.5,74.75,81.5,72.25,84.25,66.25
1,25.0,77.03999999999996,74.87999999999988,81.11999999999989,72.48000000000002,84.24000000000001,66.96000000000004
2,26.0,76.38461538461547,75.0,80.76923076923094,72.9230769230769,84.0,67.61538461538476
3,27.0,76.0,75.11111111111109,80.44444444444434,73.11111111111109,83.7777777777776,68.0
4,28.0,75.42857142857133,75.0,80.14285714285711,73.28571428571422,83.57142857142844,68.57142857142844
5,29.0,74.89655172413791,75.10344827586209,79.86206896551721,73.65517241379303,83.37931034482767,69.10344827586209
6,30.0,74.40000000000009,75.0,79.40000000000009,73.80000000000018,83.20000000000005,69.60000000000014
7,31.0,73.9354838709678,75.0967741935483,79.1612903225805,73.9354838709678,82.83870967741927,69.87096774193537
8,32.0,73.5,75.0,78.75,74.25,82.6875,70.3125
9,33.0,72.90909090909099,75.09090909090924,78.36363636363649,74.36363636363649,82.5454545454545,70.72727272727275
10,34.0,72.52941176470608,75.0,78.17647058823536,74.47058823529414,82.23529411764707,70.94117647058829
11,35.0,72.0,74.91428571428582,77.82857142857142,74.57142857142867,82.11428571428564,71.31428571428569
12,36.0,71.5,74.83333333333326,77.5,74.66666666666652,81.83333333333326,71.66666666666652
13,37.0,71.02702702702709,74.75675675675689,77.02702702702709,74.75675675675689,81.56756756756772,71.83783783783792
14,38.0,70.57894736842104,74.68421052631561,76.73684210526312,74.84210526315792,81.47368421052624,72.15789473684208
15,39.0,70.0,74.61538461538476,76.46153846153857,74.9230769230769,81.23076923076928,72.30769230769238
16,40.0,69.59999999999991,74.54999999999995,76.04999999999995,75.0,81.0,72.59999999999991
17,41.0,69.07317073170725,74.34146341463406,75.80487804878044,74.92682926829252,80.78048780487802,72.73170731707319
18,42.0,68.71428571428555,74.28571428571422,75.42857142857133,75.0,80.57142857142844,73.0
19,43.0,68.23255813953483,74.09302325581393,75.06976744186045,75.06976744186045,80.37209302325573,73.11627906976742
20,44.0,67.77272727272725,74.0454545454545,74.72727272727252,74.99999999999977,80.18181818181802,73.36363636363626
21,45.0,67.33333333333326,73.86666666666656,74.40000000000009,75.0666666666666,79.86666666666656,73.4666666666667
22,46.0,66.78260869565224,73.695652173913,74.08695652173901,75.0,79.695652173913,73.56521739130426
23,47.0,66.38297872340445,73.53191489361711,73.78723404255334,75.06382978723423,79.53191489361711,73.78723404255334
24,48.0,65.875,73.5,73.375,75.0,79.25,73.875
25,49.0,65.51020408163254,73.34693877551013,73.10204081632651,75.0612244897959,79.10204081632651,73.9591836734694
26,50.0,65.03999999999996,73.20000000000005,72.72000000000003,75.0,78.83999999999992,74.03999999999996
27,51.0,64.58823529411757,72.94117647058829,72.47058823529414,74.94117647058829,78.58823529411757,74.23529411764707
28,52.0,64.15384615384619,72.80769230769238,72.11538461538476,74.88461538461547,78.46153846153857,74.30769230769238
29,53.0,63.73584905660391,72.67924528301887,71.77358490566053,74.83018867924534,78.2264150943397,74.37735849056617
30,54.0,63.33333333333326,72.55555555555543,71.44444444444434,74.7777777777776,78.0,74.44444444444434
31,55.0,62.83636363636356,72.32727272727266,71.12727272727261,74.72727272727275,77.78181818181815,74.5090909090909
32,56.0,62.46428571428555,72.21428571428555,70.82142857142844,74.67857142857133,77.57142857142844,74.57142857142844
33,57.0,62.0,72.0,70.52631578947353,74.63157894736833,77.36842105263145,74.63157894736833
34,58.0,61.655172413793025,71.79310344827582,70.24137931034488,74.58620689655163,77.17241379310349,74.68965517241372
35,59.0,61.22033898305085,71.69491525423746,69.86440677966107,74.54237288135596,76.8813559322034,74.74576271186447
36,60.0,60.80000000000018,71.5,69.60000000000014,74.5,76.70000000000005,74.80000000000018
37,61.0,60.393442622950715,71.31147540983602,69.24590163934431,74.36065573770497,76.52459016393436,74.85245901639337
38,62.0,60.0,71.1290322580644,68.90322580645147,74.32258064516122,76.25806451612902,74.90322580645147
39,63.0,59.61904761904748,70.95238095238096,68.66666666666652,74.19047619047615,76.09523809523807,74.95238095238096
40,64.0,59.15625,70.78125,68.34375,74.15625,75.84375,74.90625
41,65.0,58.80000000000018,70.61538461538476,68.03076923076924,74.03076923076924,75.60000000000014,74.95384615384614
42,66.0,58.454545454545496,70.36363636363649,67.72727272727275,74.0,75.4545454545455,75.0
43,67.0,58.029850746268494,70.2089552238806,67.43283582089543,73.88059701492534,75.22388059701484,74.95522388059703
44,68.0,57.61764705882365,70.05882352941194,67.1470588235295,73.76470588235316,75.0,75.0
45,69.0,57.21739130434776,69.82608695652175,66.78260869565224,73.73913043478251,74.78260869565202,75.0434782608695
46,70.0,56.914285714285825,69.59999999999991,66.51428571428573,73.62857142857138,74.57142857142867,75.0
47,71.0,56.53521126760552,69.46478873239425,66.16901408450713,73.52112676056345,74.36619718309862,75.04225352112667
48,72.0,56.166666666666515,69.25,65.91666666666652,73.41666666666652,74.16666666666652,75.0
49,73.0,55.80821917808203,69.04109589041082,65.58904109589025,73.31506849315065,73.97260273972597,75.04109589041082
50,83.0,52.26506024096375,67.15662650602394,62.746987951807114,72.28915662650593,71.85542168674692,74.89156626506019
51,93.0,49.0967741935483,65.22580645161293,60.0,71.0967741935483,69.87096774193537,74.51612903225805
52,103.0,46.13592233009717,63.32038834951459,57.37864077669906,69.90291262135929,67.92233009708752,74.03883495145647
53,113.0,43.4867256637167,61.43362831858394,54.902654867256615,68.60176991150433,66.0,73.43362831858394
54,123.0,41.07317073170748,59.6097560975611,52.585365853658686,67.31707317073187,64.0975609756099,72.78048780487802
55,133.0,38.887218045112604,57.78947368421041,50.39097744360902,66.04511278195469,62.30075187969919,72.0902255639096
56,143.0,36.88111888111894,56.05594405594411,48.3776223776224,64.78321678321686,60.5874125874127,71.37062937062933
57,153.0,35.01960784313724,54.39215686274497,46.43137254901967,63.49019607843138,58.86274509803911,70.58823529411757
58,253.0,22.956521739130267,40.79051383399201,32.44268774703551,51.86561264822126,45.03557312252951,62.53754940711451
59,453.0,13.311258278145715,25.933774834437145,19.53642384105956,35.97350993377472,29.21854304635758,48.43708609271516
60,653.0,9.326186830015331,18.679938744257242,13.82848392036749,26.83920367534438,21.197549770290834,38.370597243491375
61,853.0,7.160609613130191,14.525205158264953,10.670574443141959,21.207502930832334,16.536928487690602,31.336459554513567
62,1053.0,5.81196581196582,11.857549857549884,8.678062678062815,17.464387464387528,13.527065527065588,26.307692307692378
63,1253.0,4.88906624102151,10.007980845969769,7.312051077414253,14.815642458100456,11.430167597765376,22.58739026336798
64,1453.0,4.220233998623598,8.655196145905165,6.313833448038622,12.854783207157652,9.889883000688314,19.7508602890573
65,1653.0,3.709618874773014,7.622504537205032,5.553539019963637,11.34301270417427,8.711433756805718,17.524500907441052
66,1853.0,3.3092282784673444,6.806260118726414,4.957366432811568,10.147868321640544,7.784133837021045,15.736643281165698
67,2053.0,2.989771066731464,6.149050170482042,4.477350219191294,9.176814417924788,7.03458353628821,14.270823185582003
68,2253.0,2.7243675099866778,5.608521970705851,4.082556591211869,8.375499334221104,6.415446071904171,13.051930758988192
69,2453.0,2.5022421524663514,5.153689359967302,3.749694251936262,7.702405218100239,5.894822666122991,12.022013860578909
70,2653.0,2.3136072370903094,4.767433094609942,3.467018469657205,7.128533735394058,5.452695062193925,11.140595552205241
71,2853.0,2.151419558359521,4.433228180862216,3.2239747634068863,6.633017875920132,5.072555205047365,10.37854889589903
72,3053.0,2.010481493612815,4.144775630527192,3.014739600392886,6.202423845397789,4.742220766459013,9.712414018997606
73,3253.0,1.8868736550875838,3.889947740547086,2.829388256993525,5.8229326775283425,4.452505379649665,9.126344912388504
74,3453.0,1.7775847089485524,3.6663770634229422,2.665508253692451,5.489139878366586,4.194613379669818,8.606429192006772
75,3653.0,1.6802627977006068,3.4656446756091555,2.5195729537365423,5.1902545852724415,3.966602792225558,8.141801259238946
76,3853.0,1.593044381001846,3.2857513625747288,2.388787957435852,4.92239813132619,3.7607059434208168,7.725408772385208
77,4053.0,1.5144337527756306,3.125092524056072,2.270910436713393,4.679496669133869,3.576609918578697,7.348630643967454
78,4253.0,1.4432165530213297,2.9781330825298937,2.1641194450974126,4.460851163884172,3.4084175875850633,7.005878203620796
79,4453.0,1.378396586570716,2.844374578935458,2.066921176734695,4.261845946552739,3.2553334830449785,6.695261621378677
80,4653.0,1.3191489361702224,2.7221147646680492,1.9780786589296895,4.078658929722678,3.115409413281668,6.410058027079231
81,4853.0,1.264784669276878,2.609932000824301,1.897795178240358,3.911807129610679,2.9870183391717546,6.148361838038454
82,5053.0,1.214723926380202,2.5066297249156833,1.8226795962793858,3.7569760538292485,2.8699782307539863,5.906194339995864
83,5253.0,1.1684751570530807,2.412335808109674,1.7532838378069755,3.61393489434613,2.7607081667617877,5.682467161621844
84,5453.0,1.1256189253622324,2.3238584265543523,1.688978543920939,3.482486704566327,2.65945351182836,5.476251604621439
85,5653.0,1.085795153016079,2.2416416062267217,1.6292234211921368,3.3592782593311767,2.565363523792712,5.283566248009947
86,5853.0,1.048692977959945,2.1650435674011987,1.5735520246028045,3.244490005125499,2.4777037416708936,5.104049205535603
87,6053.0,1.0140426234925144,2.09350735172643,1.5215595572442453,3.137287295556007,2.395836775152702,4.9363951759457905
88,6253.0,0.9816088277627841,2.0265472573164516,1.4728930113546994,3.0379018071325845,2.3192067807453896,4.779465856388924
89,6453.0,0.9511854951185796,1.9637377963738345,1.4272431427243646,2.9437470943746575,2.2473268247326814,4.63133426313334
90,6653.0,0.9225913121899794,1.904704644521189,1.3843378926799232,2.8552532692017394,2.1797685254771295,4.4930106718773
91,6853.0,0.8956661316212831,1.8491171749599289,1.343936961914551,2.771924704509047,2.1170290383774955,4.362760834671008
92,7053.0,0.8702679710761458,1.7966822628668524,1.3058273075287161,2.693321990642289,2.0569970225435554,4.239047213951608
93,7253.0,0.8462705087549693,1.7471391148490056,1.2698193850819735,2.619054184475317,2.0002757479662705,4.122983592995979
94,7453.0,0.8235609821549588,1.700254930900428,1.2357439957065708,2.5495773514021494,1.9465986850932495,4.012344022541356
95,7653.0,0.8020384163073686,1.6558212465699853,1.2034496275969104,2.482947863582922,1.895727165817334,3.9082712661702317
96,7853.0,0.7823761619763445,1.6136508340762248,1.1728002037436909,2.4197122118935113,1.8474468356041598,3.8087355150896656
97,8053.0,0.7629454861541944,1.5735750651929266,1.1436731652800063,2.359617533838218,1.8015646342976197,3.714143797342558
98,8253.0,0.7444565612504448,1.5354416575789855,1.11595783351504,2.3024354780079648,1.7579062159213663,3.6248636859322687
99,8453.0,0.7268425411095905,1.499112741038516,1.0895540044953123,2.2479593043888144,1.7163137347686188,3.539098544895296
100,8653.0,0.7100427597365524,1.4644631919563835,1.0643707384722347,2.196001386802209,1.676643938518282,3.4572980469201866
101,8760.0,0.7013698630137242,1.4465753424658487,1.0513698630136332,2.16917808219182,1.656164383561645,3.415068493150784
